archetype,agent,seed,reward_mean,ctr,sends_per_episode,optout_rate
OfficeWorker,Fixed-18:00,0,2.0147973871003533,0.31642857142857145,7.0,0.0
OfficeWorker,Random,0,-121.53076780848052,0.06965174129353234,29.145,0.995
OfficeWorker,DDQN,0,0.0,0.0,0.0,0.0
OfficeWorker,DDQN,1,0.0,0.0,0.0,0.0
OfficeWorker,DDQN,2,0.0,0.0,0.0,0.0
OfficeWorker,DDQN,3,0.0,0.0,0.0,0.0
OfficeWorker,DDQN,4,0.0,0.0,0.0,0.0
NightOwlStudent,Fixed-18:00,0,-18.13796580039964,0.06,7.0,0.0
NightOwlStudent,Random,0,-132.32030363535924,0.058225806451612905,31.0,0.995
NightOwlStudent,DDQN,0,0.0,0.5269964231465816,4.8020000000000005,0.0
NightOwlStudent,DDQN,1,8.643090262116978,0.5269964231465816,4.8020000000000005,0.0
NightOwlStudent,DDQN,2,9.525441817424026,0.5269964231465816,4.8020000000000005,0.0
NightOwlStudent,DDQN,3,8.664836948651045,0.5269964231465816,4.8020000000000005,0.0
NightOwlStudent,DDQN,4,9.550224787589382,0.5269964231465816,4.8020000000000005,0.0
NightShiftWorker,Fixed-18:00,0,-4.182538894149646,0.23785714285714285,7.0,0.0
NightShiftWorker,Random,0,-129.61237325542194,0.06758709263124096,31.145,0.995
NightShiftWorker,DDQN,0,0.0,0.0,0.0,0.0
NightShiftWorker,DDQN,1,0.0,0.0,0.0,0.0
NightShiftWorker,DDQN,2,0.0,0.0,0.0,0.0
NightShiftWorker,DDQN,3,0.0,0.0,0.0,0.0
NightShiftWorker,DDQN,4,0.0,0.0,0.0,0.0
NormalStudent,Fixed-18:00,0,-7.387218300399645,0.19714285714285715,7.0,0.0
NormalStudent,Random,0,-133.40740834203868,0.06381310755722797,31.89,0.995
NormalStudent,DDQN,0,0.0,0.0,0.0,0.0
NormalStudent,DDQN,1,0.0,0.0,0.0,0.0
NormalStudent,DDQN,2,0.0,0.0,0.0,0.0
NormalStudent,DDQN,3,0.0,0.0,0.0,0.0
NormalStudent,DDQN,4,0.0,0.0,0.0,0.0
Housewife,Fixed-18:00,0,-7.616255800399645,0.19428571428571428,7.0,0.0
Housewife,Random,0,-111.60394307533092,0.09766563680054927,29.13,0.99
Housewife,DDQN,0,0.0,0.10033641715727501,2.378,0.0
Housewife,DDQN,1,0.0,0.10033641715727501,2.378,0.0
Housewife,DDQN,2,0.0,0.10033641715727501,2.378,0.0
Housewife,DDQN,3,30.000136205240555,0.10033641715727501,2.378,0.0
Housewife,DDQN,4,0.0,0.10033641715727501,2.378,0.0
