archetype,agent,seed,reward_mean,ctr,sends_per_episode,optout_rate
OfficeWorker,Fixed-18:00,0,2.0147973871003533,0.31642857142857145,7.0,0.0
OfficeWorker,Random,0,-121.53076780848052,0.06965174129353234,29.145,0.995
OfficeWorker,DQN,0,0.0,0.0,0.0,0.0
OfficeWorker,DQN,1,0.0,0.0,0.0,0.0
OfficeWorker,DQN,2,0.0,0.0,0.0,0.0
OfficeWorker,DQN,3,0.0,0.0,0.0,0.0
OfficeWorker,DQN,4,0.0,0.0,0.0,0.0
NightOwlStudent,Fixed-18:00,0,-18.13796580039964,0.06,7.0,0.0
NightOwlStudent,Random,0,-132.32030363535924,0.058225806451612905,31.0,0.995
NightOwlStudent,DQN,0,0.0,0.5139186231087408,4.803,0.0
NightOwlStudent,DQN,1,9.323395171184702,0.5139186231087408,4.803,0.0
NightOwlStudent,DQN,2,8.220282028335225,0.5139186231087408,4.803,0.0
NightOwlStudent,DQN,3,5.397687394229693,0.5139186231087408,4.803,0.0
NightOwlStudent,DQN,4,9.65022252357006,0.5139186231087408,4.803,0.0
NightShiftWorker,Fixed-18:00,0,-4.182538894149646,0.23785714285714285,7.0,0.0
NightShiftWorker,Random,0,-129.61237325542194,0.06758709263124096,31.145,0.995
NightShiftWorker,DQN,0,0.0,0.0,0.0,0.0
NightShiftWorker,DQN,1,0.0,0.0,0.0,0.0
NightShiftWorker,DQN,2,0.0,0.0,0.0,0.0
NightShiftWorker,DQN,3,0.0,0.0,0.0,0.0
NightShiftWorker,DQN,4,0.0,0.0,0.0,0.0
NormalStudent,Fixed-18:00,0,-7.387218300399645,0.19714285714285715,7.0,0.0
NormalStudent,Random,0,-133.40740834203868,0.06381310755722797,31.89,0.995
NormalStudent,DQN,0,0.0,0.0,0.0,0.0
NormalStudent,DQN,1,0.0,0.0,0.0,0.0
NormalStudent,DQN,2,0.0,0.0,0.0,0.0
NormalStudent,DQN,3,0.0,0.0,0.0,0.0
NormalStudent,DQN,4,0.0,0.0,0.0,0.0
Housewife,Fixed-18:00,0,-7.616255800399645,0.19428571428571428,7.0,0.0
Housewife,Random,0,-111.60394307533092,0.09766563680054927,29.13,0.99
Housewife,DQN,0,44.5448943563658,0.3171244590571085,22.273000000000003,0.061
Housewife,DQN,1,0.0,0.3171244590571085,22.273000000000003,0.061
Housewife,DQN,2,36.11720977358322,0.3171244590571085,22.273000000000003,0.061
Housewife,DQN,3,14.82016835175958,0.3171244590571085,22.273000000000003,0.061
Housewife,DQN,4,28.177807363558745,0.3171244590571085,22.273000000000003,0.061
