agent,archetype,seed,converged_at
DDQN,Housewife,0,1450.0
DDQN,NightOwlStudent,0,1450.0
DDQN,NightShiftWorker,0,
DDQN,NormalStudent,0,1500.0
DDQN,OfficeWorker,0,1400.0
DQN,Housewife,0,700.0
DQN,NightOwlStudent,0,1500.0
DQN,NightShiftWorker,0,1500.0
DQN,NormalStudent,0,
DQN,OfficeWorker,0,1300.0
LINUCB,Housewife,0,
LINUCB,NightOwlStudent,0,
LINUCB,NightShiftWorker,0,
LINUCB,NormalStudent,0,
LINUCB,OfficeWorker,0,
PPO,Housewife,0,
PPO,NightOwlStudent,0,
PPO,NightShiftWorker,0,
PPO,NormalStudent,0,
PPO,OfficeWorker,0,
