archetype,scheme,member,split,hold_bias,reward_mean,ctr,sends_per_episode,optout_rate,disagreement_rate
OfficeWorker,member,LinUCB,validation,,-96.4187653445983,0.14597931264597933,59.94,0.34,
OfficeWorker,member,LinUCB,test,,-102.67011765139563,0.1363288230788869,58.755,0.315,
OfficeWorker,member,DQN,validation,,-35.613529910541544,0.180623973727422,30.45,0.0,
OfficeWorker,member,DQN,test,,-33.48473351124079,0.18415235504165958,29.405,0.0,
OfficeWorker,member,DDQN,validation,,-9.432727185428524,0.20782851817334577,10.73,0.0,
OfficeWorker,member,DDQN,test,,-6.777627847576103,0.22129783693843594,9.015,0.0,
OfficeWorker,member,PPO,validation,,-0.6878549167098196,0.22448979591836735,0.98,0.0,
OfficeWorker,member,PPO,test,,-0.9832618525409168,0.1912568306010929,0.915,0.0,
OfficeWorker,member,Fixed-18:00,validation,,1.148272869989207,0.30428571428571427,7.0,0.0,
OfficeWorker,member,Fixed-18:00,test,,2.0147973871003533,0.31642857142857145,7.0,0.0,
OfficeWorker,vote,ENSEMBLE,validation,,-5.1398620946893905,0.2518796992481203,13.3,0.0,0.5895833333333333
OfficeWorker,vote,ENSEMBLE,test,,-3.900397470787908,0.26034816247582204,12.925,0.0,0.5882738095238095
OfficeWorker,gated,ENSEMBLE,validation,0.25,6.0813801784466825,0.40210526315789474,4.75,0.0,
OfficeWorker,gated,ENSEMBLE,test,0.25,5.712246587046014,0.4043035107587769,4.415,0.0,
NightOwlStudent,member,LinUCB,validation,,-86.01881102885687,0.06401435836075381,33.43,0.0,
NightOwlStudent,member,LinUCB,test,,-90.37512890813727,0.058221181977764776,34.18,0.005,
NightOwlStudent,member,DQN,validation,,-32.73081724682036,0.14205702647657842,19.64,0.0,
NightOwlStudent,member,DQN,test,,-31.646587514729408,0.14818548387096775,19.84,0.0,
NightOwlStudent,member,DDQN,validation,,-0.6297003398081649,0.38967136150234744,2.13,0.0,
NightOwlStudent,member,DDQN,test,,-1.7692797620430714,0.3447488584474886,2.19,0.0,
NightOwlStudent,member,PPO,validation,,-0.6012248738804918,0.23469387755102042,0.98,0.0,
NightOwlStudent,member,PPO,test,,0.06648640294637792,0.2962962962962963,0.945,0.0,
NightOwlStudent,member,Fixed-18:00,validation,,-16.937325826885786,0.07428571428571429,7.0,0.0,
NightOwlStudent,member,Fixed-18:00,test,,-18.13796580039964,0.06,7.0,0.0,
NightOwlStudent,vote,ENSEMBLE,validation,,-11.252520540275677,0.08775510204081632,4.9,0.0,0.5708333333333333
NightOwlStudent,vote,ENSEMBLE,test,,-11.312849252726974,0.08093716719914804,4.695,0.0,0.573670634920635
NightOwlStudent,gated,ENSEMBLE,validation,0.75,0.0,0.0,0.0,0.0,
NightOwlStudent,gated,ENSEMBLE,test,0.75,0.0,0.0,0.0,0.0,
NightShiftWorker,member,LinUCB,validation,,-123.47184050311675,0.0977862994596479,57.37,0.06,
NightShiftWorker,member,LinUCB,test,,-119.62212087905715,0.11007778153533987,59.14,0.095,
NightShiftWorker,member,DQN,validation,,-20.72547375709329,0.19866603144354456,20.99,0.0,
NightShiftWorker,member,DQN,test,,-18.29855670965242,0.20909090909090908,20.35,0.0,
NightShiftWorker,member,DDQN,validation,,-3.2243373418211956,0.23739495798319327,4.76,0.0,
NightShiftWorker,member,DDQN,test,,-2.771130802803171,0.22842639593908629,3.94,0.0,
NightShiftWorker,member,PPO,validation,,-2.02305371330701,0.11818181818181818,1.1,0.0,
NightShiftWorker,member,PPO,test,,-1.9824254858418442,0.12612612612612611,1.11,0.0,
NightShiftWorker,member,Fixed-18:00,validation,,-5.518699576885791,0.22,7.0,0.0,
NightShiftWorker,member,Fixed-18:00,test,,-4.182538894149646,0.23785714285714285,7.0,0.0,
NightShiftWorker,vote,ENSEMBLE,validation,,-5.587491025994645,0.23626373626373626,9.1,0.0,0.5877976190476191
NightShiftWorker,vote,ENSEMBLE,test,,-2.4301609689478854,0.26685714285714285,8.75,0.0,0.58375
NightShiftWorker,gated,ENSEMBLE,validation,0.75,0.0,0.0,0.0,0.0,
NightShiftWorker,gated,ENSEMBLE,test,0.75,0.04351594936665098,0.5,0.02,0.0,
NormalStudent,member,LinUCB,validation,,-110.05368290375377,0.11631156129933636,57.26,0.05,
NormalStudent,member,LinUCB,test,,-111.77388036594674,0.11386796632698272,56.425,0.1,
NormalStudent,member,DQN,validation,,-24.580484797209625,0.20189753320683113,26.35,0.0,
NormalStudent,member,DQN,test,,-27.528818940258063,0.19528178243774574,26.705,0.0,
NormalStudent,member,DDQN,validation,,-6.93675157813156,0.23333333333333334,10.8,0.0,
NormalStudent,member,DDQN,test,,-6.000338616926185,0.24,10.125,0.0,
NormalStudent,member,PPO,validation,,-0.6420051885114502,0.19718309859154928,0.71,0.0,
NormalStudent,member,PPO,test,,-1.052565053747169,0.145985401459854,0.685,0.0,
NormalStudent,member,Fixed-18:00,validation,,-9.44043332688579,0.17,7.0,0.0,
NormalStudent,member,Fixed-18:00,test,,-7.387218300399645,0.19714285714285715,7.0,0.0,
NormalStudent,vote,ENSEMBLE,validation,,-11.434371499953668,0.20757695343330704,12.67,0.0,0.5707142857142857
NormalStudent,vote,ENSEMBLE,test,,-7.21488028698646,0.23703703703703705,12.825,0.0,0.5741865079365079
NormalStudent,gated,ENSEMBLE,validation,1.0,0.0,0.0,0.0,0.0,
NormalStudent,gated,ENSEMBLE,test,1.0,0.0,0.0,0.0,0.0,
Housewife,member,LinUCB,validation,,-43.07694328729151,0.21104725415070244,62.64,0.46,
Housewife,member,LinUCB,test,,-43.210801381307135,0.21118410511136035,62.41,0.445,
Housewife,member,DQN,validation,,-41.13832103501357,0.2017781213761113,51.74,0.09,
Housewife,member,DQN,test,,-41.49822735673183,0.20121951219512196,50.84,0.155,
Housewife,member,DDQN,validation,,19.91282596138305,0.30530474040632055,35.44,0.0,
Housewife,member,DDQN,test,,13.94485262682796,0.29437597393398496,35.295,0.0,
Housewife,member,PPO,validation,,-0.17921233311918436,0.25806451612903225,0.62,0.0,
Housewife,member,PPO,test,,0.2814260222687641,0.3364485981308411,0.535,0.0,
Housewife,member,Fixed-18:00,validation,,-9.09558332688579,0.1742857142857143,7.0,0.0,
Housewife,member,Fixed-18:00,test,,-7.616255800399645,0.19428571428571428,7.0,0.0,
Housewife,vote,ENSEMBLE,validation,,25.653860804215686,0.3131731565865783,36.21,0.0,0.6830952380952381
Housewife,vote,ENSEMBLE,test,,20.228404443745895,0.30693773102075633,35.17,0.0,0.6805555555555556
Housewife,gated,ENSEMBLE,validation,-0.5,19.977060079780895,0.31296526054590573,32.24,0.0,
Housewife,gated,ENSEMBLE,test,-0.5,14.466208942313875,0.3010968638961842,32.365,0.0,
