agent,archetype,seed,episode,reward,ctr,sends,seconds
LINUCB,OfficeWorker,0,50,-117.3762219758526,0.06894447834045149,40.975,56.9
LINUCB,OfficeWorker,0,100,-119.42008372946195,0.07713963963963964,44.4,56.9
LINUCB,OfficeWorker,0,150,-122.23990715525397,0.12112561174551387,61.3,56.9
LINUCB,OfficeWorker,0,200,-122.98307413386401,0.12767644726407612,63.05,56.9
LINUCB,OfficeWorker,0,250,-133.70741557524465,0.1254846669016567,70.925,56.9
LINUCB,OfficeWorker,0,300,-122.59049105965059,0.11867290514674607,58.775,56.9
LINUCB,OfficeWorker,0,350,-125.08025554451456,0.11329628046173579,58.475,56.9
LINUCB,OfficeWorker,0,400,-148.37335773970023,0.11048557353976073,71.05,56.9
LINUCB,OfficeWorker,0,450,-130.18568032312774,0.11670663469224621,62.55,56.9
LINUCB,OfficeWorker,0,500,-137.74283639550552,0.11278485901892622,64.725,56.9
LINUCB,OfficeWorker,0,550,-136.47002518165596,0.11644100580270793,64.625,56.9
LINUCB,OfficeWorker,0,600,-128.3810017562847,0.11013986013986014,57.2,56.9
LINUCB,OfficeWorker,0,650,-140.48174733329495,0.1122645136485967,65.025,56.9
LINUCB,OfficeWorker,0,700,-136.57479335692557,0.11327975507079985,65.325,56.9
LINUCB,OfficeWorker,0,750,-140.58697498767842,0.11693989071038251,68.625,56.9
LINUCB,OfficeWorker,0,800,-132.49002523331956,0.10797132011809363,59.275,56.9
LINUCB,OfficeWorker,0,850,-135.25490500415506,0.11751662971175167,67.65,56.9
LINUCB,OfficeWorker,0,900,-135.07131453047313,0.11958533876342095,67.525,56.9
LINUCB,OfficeWorker,0,950,-146.50604520365124,0.11162133521723773,70.775,56.9
LINUCB,OfficeWorker,0,1000,-137.62138310878007,0.10924713584288052,61.1,56.9
LINUCB,OfficeWorker,0,1050,-156.75599985093075,0.10677263303386317,72.35,56.9
LINUCB,OfficeWorker,0,1100,-141.6043465915344,0.11106927710843373,66.4,56.9
LINUCB,OfficeWorker,0,1150,-139.27801488361752,0.11949685534591195,67.575,56.9
LINUCB,OfficeWorker,0,1200,-135.70092413021555,0.11176240719030871,63.975,56.9
LINUCB,OfficeWorker,0,1250,-141.6557809127521,0.11338289962825279,67.25,56.9
LINUCB,OfficeWorker,0,1300,-143.42365324145902,0.11558669001751314,71.375,56.9
LINUCB,OfficeWorker,0,1350,-138.49238656575326,0.11534154535274356,66.975,56.9
LINUCB,OfficeWorker,0,1400,-143.04060639006758,0.11273792093704246,68.3,56.9
LINUCB,OfficeWorker,0,1450,-146.23379328457855,0.11492641906096707,71.35,56.9
LINUCB,OfficeWorker,0,1500,-143.9699287960555,0.11612680909717436,72.55,56.9
LINUCB,Housewife,0,50,-93.62829418757954,0.25885885885885884,41.625,59.5
LINUCB,Housewife,0,100,-70.7028345987042,0.29012760241773,37.225,59.5
LINUCB,Housewife,0,150,-69.64188629529752,0.2889403590040533,43.175,59.5
LINUCB,Housewife,0,200,-86.16807665129737,0.24969400244798043,40.85,59.5
LINUCB,Housewife,0,250,-80.96330664111977,0.2546816479400749,40.05,59.5
LINUCB,Housewife,0,300,-73.5296825209058,0.2553729456384324,39.55,59.5
LINUCB,Housewife,0,350,-69.32028053373884,0.26778242677824265,41.825,59.5
LINUCB,Housewife,0,400,-61.862054236618725,0.2752463054187192,40.6,59.5
LINUCB,Housewife,0,450,-65.30157609923427,0.26413881748071977,38.9,59.5
LINUCB,Housewife,0,500,-76.79214490249032,0.2603377984857309,42.925,59.5
LINUCB,Housewife,0,550,-73.00757467342615,0.25970149253731345,41.875,59.5
LINUCB,Housewife,0,600,-66.00246307282507,0.2703037817730936,40.325,59.5
LINUCB,Housewife,0,650,-54.31322900597682,0.28324808184143224,39.1,59.5
LINUCB,Housewife,0,700,-56.53707213166272,0.27884615384615385,39.0,59.5
LINUCB,Housewife,0,750,-63.369780983447505,0.27221876942200124,40.225,59.5
LINUCB,Housewife,0,800,-62.93370677227256,0.27981384525887143,42.975,59.5
LINUCB,Housewife,0,850,-63.6292069899785,0.2732174955062912,41.725,59.5
LINUCB,Housewife,0,900,-62.76156595476745,0.2740784780023781,42.05,59.5
