agent,variant,archetype,seed,reward_mean,ctr,sends_per_episode,optout_rate,train_churn_rate,preseeded_sends,applicable,seconds
DQN,baseline,OfficeWorker,0,0.0,0.0,0.0,0.0,0.5033333333333333,0,True,152.2
DQN,gamma090,NormalStudent,0,-3.608390967273765,0.4712286158631415,6.43,0.0,0.5233333333333333,0,True,159.2
DQN,preseed,NightOwlStudent,0,0.0,0.0,0.0,0.0,0.5116666666666667,282,True,164.0
DQN,baseline,NightOwlStudent,0,0.0,0.0,0.0,0.0,0.52,0,True,165.7
DQN,baseline,Housewife,0,44.5448943563658,0.4478831393909384,20.195,0.0,0.5466666666666666,0,True,165.9
DQN,gamma090,NightShiftWorker,0,0.0,0.0,0.0,0.0,0.5016666666666667,0,True,166.5
DQN,preseed,Housewife,0,41.68401767535416,0.4805622009569378,16.72,0.0,0.53,272,True,166.7
DQN,baseline,NormalStudent,0,0.0,0.0,0.0,0.0,0.5183333333333333,0,True,167.6
DQN,preseed,NightShiftWorker,0,0.0,0.0,0.0,0.0,0.5133333333333333,300,True,168.1
DQN,gamma090,OfficeWorker,0,-6.685455723163848,0.25882817123693036,25.345,0.0,0.52,0,True,168.3
DQN,baseline,NightShiftWorker,0,0.0,0.0,0.0,0.0,0.49833333333333335,0,True,174.4
DQN,preseed,NormalStudent,0,0.0,0.0,0.0,0.0,0.5116666666666667,290,True,174.6
DQN,preseed,OfficeWorker,0,0.0,0.0,0.0,0.0,0.5183333333333333,299,True,176.3
DQN,gamma090,NightOwlStudent,0,4.567711320891018,0.34302442963860286,24.765,0.0,0.525,0,True,177.4
DQN,both,OfficeWorker,0,-41.68077208423284,0.19160452249218185,41.57,0.0,0.67,299,True,147.9
DQN,both,NormalStudent,0,-16.199754606839324,0.23353071798667654,27.02,0.0,0.6883333333333334,290,True,142.3
DQN,both,Housewife,0,34.223386188186595,0.3045988453115668,50.23,0.0,0.735,272,True,142.2
DQN,both,NightOwlStudent,0,7.680328811521884,0.39904368615518365,23.005,0.0,0.665,282,True,144.9
DQN,both,NightShiftWorker,0,0.0,0.0,0.0,0.0,0.6366666666666667,300,True,147.4
DDQN,baseline,NormalStudent,0,0.0,0.0,0.0,0.0,0.5216666666666666,0,True,167.6
DQN,gamma090,Housewife,0,50.02895731937333,0.36532851784970133,35.995,0.0,0.5233333333333333,0,True,185.8
DDQN,baseline,OfficeWorker,0,0.0,0.0,0.0,0.0,0.49166666666666664,0,True,183.3
DDQN,baseline,NightOwlStudent,0,0.0,0.0,0.0,0.0,0.52,0,True,185.2
DDQN,baseline,NightShiftWorker,0,0.0,0.0,0.0,0.0,0.49833333333333335,0,True,188.0
DDQN,preseed,NightShiftWorker,0,0.0,0.0,0.0,0.0,0.5133333333333333,300,True,188.3
DDQN,baseline,Housewife,0,0.0,0.0,0.0,0.0,0.5416666666666666,0,True,198.6
DDQN,preseed,OfficeWorker,0,0.0,0.0,0.0,0.0,0.5216666666666666,299,True,201.2
DDQN,preseed,NightOwlStudent,0,0.0,0.0,0.0,0.0,0.5116666666666667,282,True,215.6
DDQN,gamma090,OfficeWorker,0,-9.764696725616666,0.24422206337860378,20.985,0.0,0.5183333333333333,0,True,179.5
DDQN,gamma090,NightOwlStudent,0,-1.0312243847393825,0.27821799612607856,28.395,0.0,0.5283333333333333,0,True,187.5
DDQN,preseed,Housewife,0,31.085375780049826,0.3726966514761244,25.235,0.0,0.525,272,True,203.4
DDQN,both,OfficeWorker,0,-2.7614661351859326,0.2707543194268858,23.73,0.0,0.72,299,True,163.2
DDQN,gamma090,Housewife,0,21.1569057259078,0.2911325352261892,47.195,0.02,0.555,0,True,175.8
DDQN,gamma090,NightShiftWorker,0,0.0,0.0,0.0,0.0,0.5,0,True,205.1
DDQN,both,NightOwlStudent,0,16.637436195456335,0.4505680444766739,20.685,0.0,0.6483333333333333,282,True,168.2
DDQN,both,NightShiftWorker,0,-4.304452098391488,0.13598326359832635,2.39,0.0,0.6316666666666667,300,True,167.0
DDQN,preseed,NormalStudent,0,0.0,0.0,0.0,0.0,0.5133333333333333,290,True,219.2
DDQN,both,NormalStudent,0,-22.28785316000122,0.24191387559808614,26.125,0.0,0.66,290,True,161.7
DDQN,both,Housewife,0,53.39235688065015,0.3435157211592257,44.685,0.005,0.7083333333333334,272,True,159.8
DDQN,gamma090,NormalStudent,0,0.0,0.0,0.0,0.0,0.535,0,True,202.4
