agent,variant,archetype,seed,episodes,reward_mean,ctr,sends_per_episode,optout_rate,train_churn_rate,above_break_even,peak_hour,target_hour,hour_error,concentration,seconds
DDQN,both,OfficeWorker,0,600,-2.7614661351859326,0.2707543194268858,23.73,0.0,0.72,False,18,20,2,0.381,109.5
DDQN,both,Housewife,0,600,53.39235688065015,0.3435157211592257,44.685,0.005,0.7083333333333334,True,9,13,4,0.321,113.6
DDQN,both,NormalStudent,0,600,-22.28785316000122,0.24191387559808614,26.125,0.0,0.66,False,19,16,3,0.478,119.4
DDQN,both,NightShiftWorker,0,600,-4.304452098391488,0.13598326359832635,2.39,0.0,0.6316666666666667,False,0,16,8,0.821,123.1
DDQN,both,NightOwlStudent,0,600,16.637436195456335,0.4505680444766739,20.685,0.0,0.6483333333333333,True,22,23,1,0.658,124.8
DDQN,both_safe,NightOwlStudent,0,600,18.73160015780069,0.483629191321499,25.35,0.02,0.0016666666666666668,True,0,23,1,0.577,209.9
DDQN,both_safe,NightShiftWorker,0,600,0.0,0.0,0.0,0.0,0.0,False,-1,16,99,0.0,212.1
DDQN,both_safe,OfficeWorker,0,600,15.792432436850765,0.29866888519134777,36.06,0.0,0.0,False,20,20,0,0.441,212.3
DDQN,both_safe,NormalStudent,0,600,-19.310026894841428,0.3013698630136986,25.55,0.01,0.005,False,18,16,2,0.404,207.9
DDQN,both_safe,Housewife,0,600,49.23824718802914,0.33526915345097164,44.77,0.0,0.008333333333333333,False,10,13,3,0.272,208.5
DDQN,gamma095,OfficeWorker,0,600,-1.9273450532158656,0.27321360336262895,13.085,0.0,0.48333333333333334,False,23,20,3,0.303,139.1
DDQN,gamma095,NightOwlStudent,0,600,7.725075157361838,0.3829573934837093,19.95,0.0,0.52,True,0,23,1,0.547,144.8
DDQN,gamma095,NightShiftWorker,0,600,0.0,0.0,0.0,0.0,0.49833333333333335,False,-1,16,99,0.0,151.6
DDQN,gamma095,NormalStudent,0,600,0.0,0.0,0.0,0.0,0.52,False,-1,16,99,0.0,151.4
DDQN,both_long,OfficeWorker,0,1500,22.430343599450616,0.3344594594594595,28.12,0.0,0.28933333333333333,False,19,20,1,0.508,428.4
DDQN,both_long,NightOwlStudent,0,1500,25.204312926275474,0.5864793678665496,17.085,0.0,0.262,True,23,23,0,0.796,442.3
DDQN,both_long,NightShiftWorker,0,1500,0.0,0.0,0.0,0.0,0.25266666666666665,False,-1,16,99,0.0,443.0
DDQN,gamma095,Housewife,0,600,32.186727541714184,0.33975220182116733,33.495,0.0,0.5433333333333333,False,8,13,5,0.459,134.6
DDQN,both_long,Housewife,0,1500,52.54673876970361,0.36621605163804655,41.055,0.015,0.302,True,10,13,3,0.357,411.0
DDQN,both_long,NormalStudent,0,1500,-0.15372766108224611,0.4041070773744041,13.635,0.0,0.264,True,17,16,1,0.779,419.0
